district_code,district_name,gram_panchayat_code,gram_panchayat_name,parent_kp_code
182,Siddharthnagar,88560,Maina,2126
182,Siddharthnagar,88563,Mainhwa,2126
182,Siddharthnagar,270340,Mainihava,2126
160,Kushinagar,74362,Mainpur,1895
178,Sant Kabir Nagar,85942,Mainsir,2086
164,Mahrajganj,267111,Mairi,1933
160,Kushinagar,271418,Mairwa,1901
179,Bhadohi,86603,Majhagawan,2095
147,Gonda,297445,Majharath,1745
182,Siddharthnagar,88561,Majhari May Kohal,2126
181,Shrawasti,87620,Majhauba Sumal,2113
164,Mahrajganj,76453,Majhauli,1929
178,Sant Kabir Nagar,271664,Majhaura,2089
164,Mahrajganj,77023,Majhauva,1937
182,Siddharthnagar,273875,Majhavan Kala,2118
182,Siddharthnagar,273872,Majhavan Khurd,2118
160,Kushinagar,271655,Majhawa,1903
129,Bara Banki,52609,Majhgavan,1539
129,Bara Banki,51878,Majhgawan Sharif,1529
129,Bara Banki,52680,Makanpur,1540
179,Bhadohi,86788,Makanpur,2097
182,Siddharthnagar,267645,Makdaur,2130
178,Sant Kabir Nagar,85732,Makdoom Pur,2083
178,Sant Kabir Nagar,86153,Makdoompur,2089
179,Bhadohi,297165,Makdumpur,2094
160,Kushinagar,271653,Makhua,1903
181,Shrawasti,87745,Maksrihva,2115
659,Sambhal,297268,Malakpur Navada,1994
129,Bara Banki,52314,Malauli,1535
181,Shrawasti,87621,Malauna Khasiyari,2113
182,Siddharthnagar,273971,Malda,2120
182,Siddharthnagar,274085,Malgahiya,2119
164,Mahrajganj,76454,Malhani Phulwaria,1929
147,Gonda,297471,Malhipur,1735
160,Kushinagar,74769,Malho,1901
129,Bara Banki,273309,Mallapur,1539
129,Bara Banki,52200,Mallawan,1533
129,Bara Banki,52315,Mallpur Arsanda,1535
164,Mahrajganj,76891,Malmaliya Urf Sirsiya,1935
129,Bara Banki,51799,Malookpur,1528
129,Bara Banki,52473,Mamrakha Pur,1537
182,Siddharthnagar,88562,Manadei,2126
178,Sant Kabir Nagar,85801,Manaitapur,2084
171,Moradabad,297257,Manawala,2006
129,Bara Banki,269753,Mandora,1528
179,Bhadohi,266445,Manga Patti,2095
160,Kushinagar,74363,Mangal Pur,1895
164,Mahrajganj,76668,Mangalapur,1932
164,Mahrajganj,76892,Mangalpur,1935
164,Mahrajganj,76387,Mangalpur Patkhauli,1928
659,Sambhal,297193,Manganpur,2004
129,Bara Banki,269763,Mangarwal,1531
129,Bara Banki,51952,Mangauwa,1530
129,Bara Banki,51727,Mangrauda,1527
129,Bara Banki,52251,Mangrauda,1534
182,Siddharthnagar,273968,Mangrav,2120
147,Gonda,297292,Mangrawa,1744
160,Kushinagar,271462,Manguri Patti,1903
147,Gonda,297398,Manihari,1738
181,Shrawasti,87622,Manika Kot,2113
178,Sant Kabir Nagar,268770,Manikapar,2085
164,Mahrajganj,76669,Manikapur,1932
182,Siddharthnagar,88021,Manikaura,2119
182,Siddharthnagar,273962,Manikaura,2120
182,Siddharthnagar,88713,Manikaura Nankar,2128
182,Siddharthnagar,88714,Manikaura Tiwari,2128
164,Mahrajganj,76956,Manikawara,1936
129,Bara Banki,51666,Manjeetha,1526
178,Sant Kabir Nagar,86154,Manjha Khdagpur,2089
129,Bara Banki,52252,Manjha Raipur,1534
129,Bara Banki,52681,Manjhar,1540
160,Kushinagar,74098,Manjharia,1891
178,Sant Kabir Nagar,85802,Manjharia Pathan,2084
182,Siddharthnagar,266891,Manjhariya,2131
129,Bara Banki,242786,Manjhauti,1525
129,Bara Banki,51728,Manjhela,1527
129,Bara Banki,52682,Manjhupur,1540
181,Shrawasti,87691,Mankaura,2114
182,Siddharthnagar,273969,Mannijot,2120
129,Bara Banki,52683,Manodharpur,1540
181,Shrawasti,87623,Manoharapur,2113
182,Siddharthnagar,266699,Manohari,2129
129,Bara Banki,52016,Manpur,1531
178,Sant Kabir Nagar,86097,Manpur,2088
182,Siddharthnagar,274081,Manpur,2119
129,Bara Banki,51609,Manpur Makohiya,1525
129,Bara Banki,52474,Mansara,1537
181,Shrawasti,87692,Mansukha,2114
164,Mahrajganj,76826,Mansurganj,1934
147,Gonda,297473,Maraila,1735
129,Bara Banki,52540,Maraucha,1538
147,Gonda,297459,Maraucha,1743
182,Siddharthnagar,273881,Marcha,2118
