block_code,block_name,district_code,tehsil_code,tehsil_name,resolution,source
1044,Mau,136,876,Mau,derived_village,village_gram_panchayat_mapping.csv
1045,Pahari,136,875,Karwi,derived_village,village_gram_panchayat_mapping.csv
1045,Pahari,136,6156,Rajapur,derived_village,village_gram_panchayat_mapping.csv
1046,Ramnagar,136,876,Mau,derived_village,village_gram_panchayat_mapping.csv
1046,Ramnagar,136,6156,Rajapur,derived_village,village_gram_panchayat_mapping.csv
1047,Baitalpur,137,959,Deoria,derived_village,village_gram_panchayat_mapping.csv
1047,Baitalpur,137,960,Rudrapur,derived_village,village_gram_panchayat_mapping.csv
1048,Bankata,137,963,Bhatpar Rani,derived_village,village_gram_panchayat_mapping.csv
1049,Barhaj,137,961,Barhaj,derived_village,village_gram_panchayat_mapping.csv
1050,Bhagalpur,137,961,Barhaj,derived_village,village_gram_panchayat_mapping.csv
1050,Bhagalpur,137,962,Salempur,derived_village,village_gram_panchayat_mapping.csv
1051,Bhaluani,137,960,Rudrapur,derived_village,village_gram_panchayat_mapping.csv
1051,Bhaluani,137,961,Barhaj,derived_village,village_gram_panchayat_mapping.csv
1051,Bhaluani,137,962,Salempur,derived_village,village_gram_panchayat_mapping.csv
1052,Bhatni,137,962,Salempur,derived_village,village_gram_panchayat_mapping.csv
1052,Bhatni,137,963,Bhatpar Rani,derived_village,village_gram_panchayat_mapping.csv
1053,Bhatpar Rani,137,963,Bhatpar Rani,derived_village,village_gram_panchayat_mapping.csv
1054,Deoria Sadar,137,959,Deoria,derived_village,village_gram_panchayat_mapping.csv
1054,Deoria Sadar,137,960,Rudrapur,derived_village,village_gram_panchayat_mapping.csv
1055,Desai Deoria,137,959,Deoria,derived_village,village_gram_panchayat_mapping.csv
1056,Gauri Bazar,137,959,Deoria,derived_village,village_gram_panchayat_mapping.csv
1056,Gauri Bazar,137,960,Rudrapur,derived_village,village_gram_panchayat_mapping.csv
1056,Gauri Bazar,137,962,Salempur,derived_village,village_gram_panchayat_mapping.csv
