district_name,block_name,block_code,gram_panchayat_name,gram_panchayat_code
DEORIA,RUDRAPUR,1642,VISAMBHARPUR GANYARI,59441
DEORIA,TARKALUA,1644,JAMUNI,241736
DEORIA,TARKALUA,1644,KANAKPURA,241739
DEORIA,TARKALUA,1644,LAXMIPUR,241745
DEORIA,TARKALUA,1644,SIRASIYA PATTI HUSAIN,241762
DEORIA,TARKALUA,1644,TARKULVA,241766
DEORIA,TARKALUA,1644,BALPUR SHRINAGAR,271069
DEORIA,TARKALUA,1644,PARSAUNI,271070
ETAH,MAREHRA,1652,SARAI BOOLEY KHAN,265493
ETAH,MAREHRA,1652,BADHAULI,59952
ETAH,MAREHRA,1652,FATEHPUR MAFI,59961
ETAH,MAREHRA,1652,JARTHAL,59970
ETAH,MAREHRA,1652,JINHAIRA,59971
ETAH,MAREHRA,1652,KUTAINA MAFI,59976
ETAH,MAREHRA,1652,MIRHECHI,59981
ETAWAH,BARHPURA,1660,INDHAUA,266417
ETAWAH,BARHPURA,1660,FUFAI,60458
FARRUKHABAD,KAIMGANJ,1679,PATTI MADARI,61532
FARRUKHABAD,MOHAMDABAD,1681,ARJUNPUR,61657
FARRUKHABAD,MOHAMDABAD,1681,HAMIR KHERA,61677
FARRUKHABAD,MOHAMDABAD,1681,KANHEPUR,61686
FARRUKHABAD,MOHAMDABAD,1681,KHIMSOY PUR,61691
FARRUKHABAD,MOHAMDABAD,1681,MADANPUR,61696
FARRUKHABAD,MOHAMDABAD,1681,MERAPUR,61699
FARRUKHABAD,MOHAMDABAD,1681,NAGLABAG RATHAURA,61705
FARRUKHABAD,MOHAMDABAD,1681,NANDSA,61706
FARRUKHABAD,MOHAMDABAD,1681,PAMAR KHIRIA,61710
FARRUKHABAD,MOHAMDABAD,1681,PUNPAL PUR,61715
FARRUKHABAD,MOHAMDABAD,1681,SANKISA BASANTPUR,61721
FARRUKHABAD,MOHAMDABAD,1681,SEYOGANPUR,61722
FARRUKHABAD,MOHAMDABAD,1681,SITHAULI,61729
FARRUKHABAD,NAWABGANJ,1682,SIKANDER PUR MAJRA NAHROSA,266841
FARRUKHABAD,NAWABGANJ,1682,RAYPUR,266878
FARRUKHABAD,NAWABGANJ,1682,CHANDNI,266912
FARRUKHABAD,NAWABGANJ,1682,BARTAL,61743
FARRUKHABAD,NAWABGANJ,1682,GANIPUR JOGPUR,61754
FARRUKHABAD,NAWABGANJ,1682,SIRMORA BANGAR,61789
FATEHPUR,AIRAYAN,1685,DHARMDASPUR,270972
FATEHPUR,AIRAYAN,1685,CHITAULI,61960
FATEHPUR,AIRAYAN,1685,DAYALPUR,61961
FATEHPUR,AIRAYAN,1685,HARDOAN,61965
FATEHPUR,AIRAYAN,1685,SARSAI BUZURG,61986
FATEHPUR,AIRAYAN,1685,SUJARAHI,61990
FATEHPUR,ASOTHAR,1687,ASOTHAR,62057
FATEHPUR,ASOTHAR,1687,BAUNDAR,62060
FATEHPUR,ASOTHAR,1687,PREM MAU KATRA,62089
FATEHPUR,DEVMAI,1690,Shahjahanpur Khalsa,270923
FATEHPUR,DEVMAI,1690,AKBARPUR NASIRPUR,62232
FATEHPUR,DEVMAI,1690,IBRAHIMPUR DANDA,62253
FATEHPUR,DHATA,1691,BHULA,62308
FATEHPUR,DHATA,1691,KALAYANPUR KACHARAULI,62323
FATEHPUR,DHATA,1691,KARIKAN  DHATA,62324
FATEHPUR,DHATA,1691,NARSINGHPUR KABRAHA,62334
FATEHPUR,VIJAYIPUR,1697,Tilakpur,270979
FATEHPUR,VIJAYIPUR,1697,CHACHINDA,62685
FATEHPUR,VIJAYIPUR,1697,DARIYA MAU,62686
FATEHPUR,VIJAYIPUR,1697,KHAKHARERU,62696
FATEHPUR,VIJAYIPUR,1697,LAUKIYAPUR,62702
FATEHPUR,VIJAYIPUR,1697,RAKSHAPAL PUR,62712
FATEHPUR,VIJAYIPUR,1697,SALVAN,62717
FATEHPUR,VIJAYIPUR,1697,SUJANIPUR,62724
FIROZABAD,HATHWANT,1701,BILTIGARH RAGHOL,264872
FIROZABAD,HATHWANT,1701,BILTIGARHDEVJIT,62907
