district_code,tehsil_code,village_code,village_name,gram_panchayat_code,gram_panchayat_name
146,989,204776,Chak Jamaluddin Jamen Afjalpur,64761,Chakjamaluddin Zamin Urf Afjalpur
146,990,205978,Chak Jamaluddin M. Girdha Kala,64474,Rajapur
146,989,204781,Chak Jamaluddinjameen Manpur,64796,Manpur
146,990,205938,Chak Janub,64429,Breji
146,990,206183,Chak Jhamp,63899,Mahender
146,988,204537,Chak Jiwan,63943,Budhanpur
146,987,203936,Chak Kafiya,64571,Kaberpur
146,988,204393,Chak Kaji,64663,Mirjapur
146,990,205937,Chak Kalay,64429,Breji
146,991,206630,Chak Kalyan,64526,Taunga
146,988,204400,Chak Kamal,63965,Khojanpur
146,990,205866,Chak Kamaralli,268120,Chaktaha
146,990,205833,Chak Kamraura,64447,Hardiya
146,989,204693,Chak Kapil,64776,Chak Kapil
146,988,204374,Chak Kasim,64658,Maharoompur
146,990,206307,Chak Kathak,63889,Kanuan
146,990,206242,Chak Khadi,63885,Gori Khas
146,990,206023,Chak Khairullah Urf Lachipah,64439,Daud Pur
146,990,205879,Chak Khaja Mansur,64432,Chakfarid
146,991,206456,Chak Khajuri,64828,Dewa Bairanpur
146,990,206262,Chak Khalil,63900,Machti
146,990,206257,Chak Khalil Hariharpah,63872,Awathhi Basant
146,991,206648,Chak Khan Mohammad,64518,Reotipur
146,990,206054,Chak Kharullah,64440,Dolatabad
146,990,205998,Chak Kharullah Urf Kotia,64440,Dolatabad
146,989,205129,Chak Khazigi,64061,Semarachak Faiz
146,987,203940,Chak Khezir,245538,Chakfarid
146,6834,205296,Chak Khodai,64271,Surwat Shahpur
146,989,205023,Chak Khodaia,64051,Nurpur Mubarakpur
146,990,206171,Chak Khutha,268565,Murki Agadh
146,989,205029,Chak Kuresh,64022,Bindwalia
146,989,205013,Chak Kutub,64010,Banzaripur
146,988,204395,Chak Kutub,64663,Mirjapur
146,989,204948,Chak Kutuban,64043,Mahamudpur
146,990,206000,Chak Lalabad Pharosh,64449,Hata
146,990,206123,Chak Latif Murki,64437,Chandany
146,990,206340,Chak Latif Ullah,63923,Sukhdehra
146,988,204585,Chak Latiph,63936,Basipur Urf Piari
146,987,203689,Chak Mahatab,64292,Chak Mahatab
146,991,206683,Chak Mahibulla,64514,Noor Pur
146,990,205914,Chak Mahiuddin,64438,Chhattarpur
146,991,206502,Chak Mahtab Urf Chak Ballo,64842,Khizirpur Ali Nagar
146,990,206067,Chak Majuddin,64458,Kesaw Pur
146,989,204784,Chak Majuddin Urf Mahapur,64764,Babu Raipur
146,987,203715,Chak Maluk,270229,Chak Maluk
146,990,206024,Chak Manaur,64439,Daud Pur
146,989,205033,Chak Mariam,266817,Pithapur
146,990,206369,Chak Mazuddin Urf Kadipur,270528,Badhanpurpura
146,991,206459,Chak Medni No.1,270589,Chak Medni No.1
146,991,206460,Chak Medni No.2,64819,Chak Medni No.2
146,991,206467,Chak Medni No.3,64825,Deorea
146,987,203984,Chak Memrej,64602,Sesukapar
146,6834,205516,Chak Mir M.T. Rohili,64254,Rohili
146,990,206368,Chak Mir Mohd. Bhawar Kol,270528,Badhanpurpura
146,990,206332,Chak Mir Mohd.Ta. Sukhdehra,63923,Sukhdehra
146,987,203903,Chak Miran,64542,Berbhan
146,990,205909,Chak Molana Khejir,64433,Chak Molana Khejir
146,987,203840,Chak Motalib,64281,Bahram Pur
146,989,204755,Chak Muamid,64807,Shekhpur
146,989,205139,Chak Mubarak Mahiuddin Urf Jan,64027,Chak Mubarak Mahiuddin Urf Jan
146,6834,205467,Chak Mukri,64202,Chak Jainab
146,990,205855,Chak Mukund Urf Bartar,64434,Chak Mukund Urf Bartar
146,990,206049,Chak Mukuri Barej Pur,268260,Chakmukuri Berejpur
146,991,206617,Chak Muniam,64522,Sugbalia
146,989,205107,Chak Murad,266909,Rampur Jaggan
146,988,204369,Chak Murad,64663,Mirjapur
146,989,204760,Chak Mustafa,64806,Shadatpur
146,989,204933,Chak Muswas,64041,Lava
146,990,205980,Chak Nandu Chaubey,64474,Rajapur
146,990,206002,Chak Nashir Pur Khurd,64449,Hata
146,989,205065,Chak Neyamat,64024,Bishunpura Piparahi
146,989,204951,Chak Niamtulla,64011,Akhatiyarpur
146,987,203758,Chak Niyava,64335,Niyanv
146,989,205110,Chak Noor Mohammad,64022,Bindwalia
146,989,204759,Chak Noormuhammad,267700,Chak Tajuddin
146,990,206346,Chak Nuruddin,63927,Trawn
146,990,206139,Chak Pahar M. Murtajapur,64468,Chakpahar
146,990,206030,Chak Painda,64441,Doman Pura
146,988,204629,Chak Pakari,63963,Khankah Kala
146,989,204943,Chak Panah Mohammad,64018,Bhadev
146,991,206631,Chak Paran,64526,Taunga
146,991,206677,Chak Parsotam Dhodha Das,270670,Asaw
146,990,206043,Chak Pharid Bareji,64452,Jakarauli
146,990,206003,Chak Phateullah,64449,Hata
146,989,205027,Chak Phazullah,64022,Bindwalia
146,991,206435,Chak Pokhari,64823,Dadni Ranber Rai
146,990,205995,Chak Punni,64449,Hata
146,987,203566,Chak Purusottam,64122,Nasratpur Dhirji
146,991,206457,Chak Pyare,270586,Basuwari
146,987,203730,Chak Raham,64317,Bakhara
146,990,206116,Chak Rahmatali,64419,Bajalpur
146,989,204970,Chak Raja,64045,Mahuwari
146,988,204373,Chak Raju,64658,Maharoompur
146,990,206189,Chak Ramji Pandit,63884,Gondoor
146,990,206109,Chak Rasedjafer Pura Dehati,64414,Adelabad
146,989,205084,Chak Rasoolwari,245542,Mishraulia
146,987,203915,Chak Rasthi,64535,Baghan
146,990,206009,Chak Rasul,64482,Silaich
146,990,206066,Chak Rasul,64487,Tandwa
146,990,205683,Chak Rasul Urf Pandeypur,245546,Benipur
146,6834,205470,Chak Rauza,64220,Jahurabad
146,989,205026,Chak Raza,64064,Dhawa
146,990,205979,Chak Rosan,64474,Rajapur
146,6835,206780,Chak Ruknuddin,63845,Dildarnagar
146,990,206037,Chak Rukundin,64415,Ahirauli
146,990,205898,Chak Rukundinpur,64435,Chak Rukundinpur
146,989,205041,Chak Sadar,64064,Dhawa
146,987,203941,Chak Sadar,245538,Chakfarid
146,989,205042,Chak Saeda,64026,Khanpur
146,989,205099,Chak Safia,64059,Ruhipur
146,990,206019,Chak Sah Muhammad Urf Malikpur,268409,Malikpur
146,990,205867,Chak Sahrulla,64432,Chakfarid
146,987,203942,Chak Said,245538,Chakfarid
146,988,204490,Chak Sajida,270564,Kamalpur
146,990,206040,Chak Sale,64415,Ahirauli
146,990,205870,Chak Salem Urf Nakta,268120,Chaktaha
146,989,205032,Chak Samman,64040,Khijarabad
146,990,206064,Chak Samsuddin,64458,Kesaw Pur
146,987,203935,Chak Sarif,64532,Arje Kasba Swad
146,989,205016,Chak Shah Enait,64047,Mirdadpur
146,989,205091,Chak Shah Gulam Urf Kowatal,64014,Baberi
146,989,205094,Chak Shah Mohammad Urf Sakarta,266827,Chak Sah Gulam Urf Sakartali
146,988,204571,Chak Shah Muhajam,63963,Khankah Kala
146,988,204570,Chak Shah Muhammad,63963,Khankah Kala
146,6834,205443,Chak Shahgalib,64229,Lohwa
146,989,205092,Chak Shahrulla,64052,Hetimpur
146,989,204775,Chak Shambhu,64766,Baghol
146,6834,205528,Chak Sharif,269810,Sakarpur
146,988,204275,Chak Sidhona,64650,Kharona
146,987,203874,Chak Sikandar,270260,Takkipur
146,6834,205462,Chak Sikander,64220,Jahurabad
146,990,206041,Chak Sikander Ta. Hiran Pur,64452,Jakarauli
146,990,205573,Chak Sikander Urf Chakiya,64226,Kayampur
146,989,204949,Chak Suleman,64043,Mahamudpur
146,987,203926,Chak Sultan,64571,Kaberpur
146,991,206454,Chak Sultan,64828,Dewa Bairanpur
146,991,206492,Chak Sultan Urf Tisauri,64865,Tisaura
146,990,205850,Chak Taha,268120,Chaktaha
146,990,205983,Chak Tahir Parsa,64459,Khem Pur
146,989,204758,Chak Tajuddin,267700,Chak Tajuddin
146,989,204989,Chak Talwi,64028,Chaurahi
146,990,206120,Chak Tarfiya,64448,Hariballampur Urf Alawalpur
146,990,205928,Chak Tayab,64489,Chakjalalkuwati Urf Mohanpura
