local_body_code,district_code,district_name,source
249310,153,Jhansi,PMAY-Urban List of ULB
249311,153,Jhansi,PMAY-Urban List of ULB
249313,153,Jhansi,PMAY-Urban List of ULB
249314,153,Jhansi,PMAY-Urban List of ULB
249317,161,Lalitpur,PMAY-Urban List of ULB
249318,161,Lalitpur,PMAY-Urban List of ULB
249319,161,Lalitpur,PMAY-Urban List of ULB
249320,161,Lalitpur,PMAY-Urban List of ULB
249321,149,Hamirpur,PMAY-Urban List of ULB
249322,149,Hamirpur,PMAY-Urban List of ULB
249323,149,Hamirpur,PMAY-Urban List of ULB
249324,149,Hamirpur,PMAY-Urban List of ULB
249325,149,Hamirpur,PMAY-Urban List of ULB
249326,149,Hamirpur,PMAY-Urban List of ULB
249327,149,Hamirpur,PMAY-Urban List of ULB
249328,165,Mahoba,PMAY-Urban List of ULB
249329,165,Mahoba,PMAY-Urban List of ULB
249330,165,Mahoba,PMAY-Urban List of ULB
249331,165,Mahoba,PMAY-Urban List of ULB
249332,165,Mahoba,PMAY-Urban List of ULB
249333,128,Banda,PMAY-Urban List of ULB
249334,128,Banda,PMAY-Urban List of ULB
249335,128,Banda,PMAY-Urban List of ULB
249336,128,Banda,PMAY-Urban List of ULB
249337,128,Banda,PMAY-Urban List of ULB
249338,128,Banda,PMAY-Urban List of ULB
249339,128,Banda,PMAY-Urban List of ULB
249340,128,Banda,PMAY-Urban List of ULB
249341,136,Chitrakoot,PMAY-Urban List of ULB
249342,136,Chitrakoot,PMAY-Urban List of ULB
249343,136,Chitrakoot,PMAY-Urban List of ULB
249344,142,Fatehpur,PMAY-Urban List of ULB
249345,142,Fatehpur,PMAY-Urban List of ULB
249346,142,Fatehpur,PMAY-Urban List of ULB
249347,142,Fatehpur,PMAY-Urban List of ULB
249348,142,Fatehpur,PMAY-Urban List of ULB
249349,142,Fatehpur,PMAY-Urban List of ULB
249350,174,Pratapgarh,PMAY-Urban List of ULB
249351,174,Pratapgarh,PMAY-Urban List of ULB
249352,174,Pratapgarh,PMAY-Urban List of ULB
249353,174,Pratapgarh,PMAY-Urban List of ULB
249354,174,Pratapgarh,PMAY-Urban List of ULB
249355,174,Pratapgarh,PMAY-Urban List of ULB
249356,174,Pratapgarh,PMAY-Urban List of ULB
249357,158,Kaushambi,PMAY-Urban List of ULB
249358,158,Kaushambi,PMAY-Urban List of ULB
249359,158,Kaushambi,PMAY-Urban List of ULB
249360,158,Kaushambi,PMAY-Urban List of ULB
