local_body_code,district_code,district_name,source
249361,158,Kaushambi,PMAY-Urban List of ULB
249362,158,Kaushambi,PMAY-Urban List of ULB
249363,158,Kaushambi,PMAY-Urban List of ULB
249364,120,Prayagraj,PMAY-Urban List of ULB
249365,120,Prayagraj,PMAY-Urban List of ULB
249368,120,Prayagraj,PMAY-Urban List of ULB
249369,120,Prayagraj,PMAY-Urban List of ULB
249370,120,Prayagraj,PMAY-Urban List of ULB
249372,120,Prayagraj,PMAY-Urban List of ULB
249373,120,Prayagraj,PMAY-Urban List of ULB
249374,120,Prayagraj,PMAY-Urban List of ULB
249375,120,Prayagraj,PMAY-Urban List of ULB
249376,129,Bara Banki,PMAY-Urban List of ULB
249377,129,Bara Banki,PMAY-Urban List of ULB
249378,129,Bara Banki,PMAY-Urban List of ULB
249380,129,Bara Banki,PMAY-Urban List of ULB
249381,129,Bara Banki,PMAY-Urban List of ULB
249382,129,Bara Banki,PMAY-Urban List of ULB
249384,129,Bara Banki,PMAY-Urban List of ULB
249385,129,Bara Banki,PMAY-Urban List of ULB
249386,129,Bara Banki,PMAY-Urban List of ULB
249387,129,Bara Banki,PMAY-Urban List of ULB
249388,140,Ayodhya,PMAY-Urban List of ULB
249389,140,Ayodhya,PMAY-Urban List of ULB
249391,140,Ayodhya,PMAY-Urban List of ULB
249392,140,Ayodhya,PMAY-Urban List of ULB
249393,140,Ayodhya,PMAY-Urban List of ULB
249394,121,Ambedkar Nagar,PMAY-Urban List of ULB
249396,121,Ambedkar Nagar,PMAY-Urban List of ULB
249398,121,Ambedkar Nagar,PMAY-Urban List of ULB
249399,121,Ambedkar Nagar,PMAY-Urban List of ULB
249400,121,Ambedkar Nagar,PMAY-Urban List of ULB
249401,640,Amethi,PMAY-Urban List of ULB
249402,640,Amethi,PMAY-Urban List of ULB
249404,185,Sultanpur,PMAY-Urban List of ULB
249405,185,Sultanpur,PMAY-Urban List of ULB
249406,185,Sultanpur,PMAY-Urban List of ULB
249407,185,Sultanpur,PMAY-Urban List of ULB
