gram_panchayat_code,gram_panchayat_name,district_code,parent_kp_code
73876,Bernaiyan,159,1888
62365,Berraon,142,1692
62062,Besadi,142,1687
84293,Besarwa,640,2064
54544,Betahua,131,1567
88181,Bewa Mustafa,182,2122
64543,Bewda,146,1730
48104,Bghaura Enampur,123,1466
59415,Bhabhauli,137,1642
93227,Bhabhiyar,187,2201
79508,Bhabhni,170,1984
273951,Bhadariya,182,2122
82900,Bhadauna,174,2037
47202,Bhadaura Makrand,123,1453
48062,Bhadsar,123,1465
48406,Bhadsari,123,1470
265923,Bhagautipur,187,2205
61173,Bhagi Pur,140,1674
50022,Bhagipur,126,1499
64816,Bhagirath Pur,146,1734
93229,Bhagwan Pur,187,2201
48327,Bhagwanpur,123,1469
87847,Bhagwanpur,181,2117
271693,Bhagwanpur,148,1756
53011,Bhagwatipur Rajaram,130,1545
53795,Bhainsa Pandey,131,1557
81823,Bhainsana Gwalpur Must.,173,2022
270006,Bhairavpur,185,2176
272312,Bhairopur Kala,123,1466
54315,Bhaisaha,131,1564
76357,Bhaisi,164,1928
66784,Bhaisla,148,1764
45153,Bhaiya,120,1426
268157,Bhakher Wara,175,2057
62682,Bhakhrana,142,1697
53958,Bhakrahi,131,1559
66785,Bhaksa,148,1764
57755,Bhaluadilaudhi,135,1617
273956,Bhaluvahi,182,2122
66528,Bhandaro,148,1760
74585,Bhangra,160,1899
270112,Bharahiya,184,2158
45044,Bharari,120,1424
49852,Bharasar,126,1496
242963,Bharatapur,180,2108
82968,Bharatpur,174,2038
47329,Bharauli,123,1455
59201,Bharauli,137,1639
54111,Bhargawan,131,1561
90429,Bharkana,184,2155
66787,Bharpahi,148,1764
48328,Bharpur Pichhavar,123,1469
79900,Bharpura,170,1990
87724,Bhartha Belbharia,181,2115
267347,Bhartha Shahbajpur,125,1480
93393,Bharthara,187,2203
54185,Bharu,131,1562
93476,Bhatapurwakhurd,187,2204
82328,Bhati Khurd,174,2028
49405,Bhaukhara,125,1487
270225,Bhauriyar,185,2178
82901,Bhausia,174,2037
270052,Bhavanipur Kaliya,132,1580
269327,Bhawaniganj,173,2027
89377,Bhawanipur William Sahab,183,2138
241907,Bhawayee,128,1522
270131,Bhaypur,180,2111
47333,Bhedaura,123,1455
59724,Bheekampur,633,1648
74395,Bheri Jungal,160,1896
53717,Bheriya,131,1556
54249,Bherwa,131,1563
91025,Bhetua,640,2164
45762,Bhidur,121,1434
93233,Bhidur,187,2201
238732,Bhikanpur Shumali,154,1836
270775,Bhikham Amhat,146,1732
73531,Bhikhampur,159,1883
267980,Bhikhanpur,177,2082
50023,Bhikharria,126,1499
46713,Bhikhra,122,1446
50089,Bhimpura No.2,126,1501
66203,Bhinswa,148,1755
268153,Bhiswa,160,1894
53797,Bhitaha,131,1557
65933,Bhitaha,148,1751
66531,Bhitani,148,1760
239098,Bhitargoan,156,1855
63941,Bhitari Taraphhatim,146,1721
271528,Bhithauli,183,2148
93397,Bhiti,187,2203
88661,Bhitiya,182,2128
45641,Bhitri Deeh,121,1433
271984,Bhiura,121,1439
74321,Bhiurahasanganj,160,1894
46255,Bhojpur,121,1440
48411,Bhopalpur,123,1470
64704,Bhopatipur,146,1732
57157,Bhopur,134,1607
81543,Bhora Khurd,172,2017
242755,Bhudeli,180,2112
242766,Bhudiya,180,2105
270472,Bhujari,146,1731
67246,Bhulsi,149,1772
268545,Bhura Khan,159,1884
88445,Bhusaula,182,2125
48249,Bibipur,123,1468
272025,Bibipur,121,1436
85613,Bidwi,177,2082
71510,Bigahi,156,1848
86561,Biharojpur Uparwar,179,2095
79362,Bihasada Khurd,170,1982
64366,Bijaura,146,1727
274034,Bijaura,182,2120
54472,Bijel Pur,131,1566
238861,Bijnaura,154,1838
90534,Bijpur,184,2156
268548,Bikkapur,166,1943
73367,Bilahri,159,1881
67035,Bilari,148,1768
87024,Binaura Binauria,180,2101
68050,Biraichmau,150,1787
55944,Biria Dandi,133,1585
242126,Biriya Makrandpur,180,2107
45830,Birsinghpur Saraiya,121,1435
50209,Bishar,126,1503
54970,Bishath,132,1573
49854,Bishunapura,126,1496
66269,Bishunpur,148,1756
65208,Bishunpur Sangam,147,1740
74462,Bishunpura,160,1897
74886,Bishunpura,160,1903
271850,Bishunpura,160,1900
74515,Bishunpura Khurd,160,1898
58088,Bishunpurwa,135,1622
50624,Bisrampur,127,1510
66533,Bistauli,148,277620
63942,Bisun Pura,146,1721
58150,Bisunpura,135,1623
47271,Bohana,123,1454
270516,Borakh,146,1730
89896,Brahmauli,183,2146
47872,Budaidha,123,1463
66534,Budehli,148,277620
81151,Budhakhera,172,2009
77114,Budhaura,165,1939
57915,Budhe Pur,135,1619
85616,Budhera,177,2082
88055,Burahu,182,2120
238796,Burawali,154,1837
73193,Canp,159,1878
267361,Chackdaha,159,1880
87468,Chadari,180,2111
67167,Chadwari Danda,149,1770
73299,Chahalar,159,1880
87726,Chahlwa,181,2115
270574,Chainpur,168,1968
92015,Chaitra,186,2182
264919,Chajmalwala,132,1570
64430,Chak Alam,146,1728
47564,Chak Chorra,123,1458
64291,Chak Daud,146,1726
64709,Chak Fatma,146,1732
50164,Chak Haji Urf Shekhpur,126,1502
62368,Chak Korra Sadat,142,1692
86563,Chak Mandhata,179,2095
46260,Chak Purwa,121,1440
64435,Chak Rukundinpur,146,1728
54250,Chakdaha,131,1563
55511,Chakgoverdhan,132,1579
54251,Chakiya,131,1563
93574,Chaklola,187,2205
54891,Chakrajmal,132,1572
53881,Chanani Sirobas,131,1558
47205,Chandapar,123,1453
93320,Chandapur,187,2202
66793,Chandaraon,148,1764
56499,Chandaura,133,1594
45984,Chandipur Kalan,121,1437
58009,Chanditara,135,1621
270903,Chandithan,164,1932
64690,Chandpur,146,1731
93148,Chandpur,187,2200
272648,Chandpur New,126,1492
54767,Chandpur Udaychand,132,1570
80538,Chandupur,171,2000
66794,Chandwari,148,1764
56235,Changasi,133,1590
50318,Chapra Sariv,126,1505
46951,Chaturpur Khas,123,1450
72278,Chaubepur,157,1861
