village_code,village_name,district_code,tehsil_code
125347,Nadgawan,118,770
124987,Nadim,118,768
940845,Nagala Padi,118,766
125154,Nagar,118,769
124812,Nagar,118,767
125113,Nagar Chand,118,769
125138,Nagariya,118,769
124830,Nagla Arrua,118,767
125367,Nagla Bachhgaiyan,118,770
124763,Nagla Baharawati,118,767
940856,Nagla Bari,118,765
124532,Nagla Bariamdan Jelesar,118,765
124540,Nagla Beal,118,765
125054,Nagla Bhikki,118,769
125226,Nagla Dalel,118,770
940857,Nagla Dhimar Etmali,118,765
125084,Nagla Dhir,118,769
124924,Nagla Duleh Khan,118,768
125266,Nagla Ent,118,770
124544,Nagla Gol,118,765
125168,Nagla Haji,118,769
125001,Nagla Inami,118,768
124904,Nagla Kasimpur,118,768
124886,Nagla Kisana,118,768
124525,Nagla Kuwar Janubi,118,765
124526,Nagla Kuwar Shumali,118,765
125156,Nagla Lohiya,118,769
124534,Nagla Mahasingh,118,765
124733,Nagla Mangoli,118,767
124559,Nagla Mani,118,765
125179,Nagla Mawai,118,769
124992,Nagla Mohare,118,768
124655,Nagla Nathu,118,766
124558,Nagla Nishankh,118,765
124542,Nagla Pachauri,118,765
125035,Nagla Patam,118,769
124930,Nagla Santhal,118,768
124721,Nagla Sarai,118,767
124517,Nagla Sarup,118,765
125081,Nagla Shadhi,118,769
124850,Nagla Sikarwar,118,767
124536,Nagla Sirji,118,765
124553,Nagla Tulsi,118,765
940863,Nagla Udiya,118,768
124919,Nagla Veerbhan,118,768
125248,Nagoo Pura,118,770
125247,Nagriya,118,770
124479,Naharra,118,765
124845,Nahchani,118,767
125328,Nahtoli,118,770
124699,Nainana Jat (Ct),118,766
124696,Nainana-Brahman (Ct),118,766
124794,Nanau,118,767
124593,Nanpur,118,766
940858,Naraich Mustkil First,118,765
124862,Naraul,118,767
940859,Naraych Ehtmali,118,765
125283,Narholi,118,770
940846,Naripura,118,766
124876,Nasaua,118,768
124638,Naubari,118,766
125384,Naugawan,118,770
125177,Naugawan,118,769
124915,Nauni,118,768
124653,Nauphari,118,766
125394,Nawali,118,770
124556,Nawalpur,118,765
124755,Naya Bass,118,767
124554,Nayabans,118,765
124888,Nayagaon,118,768
125382,Nayepura,118,770
124709,Nazirpura,118,767
125309,Neemdanda,118,770
124477,Nekpur,118,765
125147,Nibohra,118,769
125145,Nichakhera,118,769
124913,Nimena,118,768
124762,Ninbaya,118,767
125076,Nisk Patti Jarauli,118,769
125004,Noharika,118,768
125358,Nonera,118,770
124738,Nurpur,118,767
125199,Ondh,118,770
124630,Pachgain Khera,118,766
124998,Pachmori,118,768
125303,Padkoli,118,770
124938,Pahari Kalan,118,768
124939,Pahari Khurd,118,768
125356,Paharpura,118,770
125219,Pahirjaura,118,770
125386,Pai,118,770
124933,Pai Ghusiyan,118,768
124966,Pairatia,118,768
124704,Pali Kiraoli,118,767
124822,Pali Sadar,118,767
125111,Paliya,118,769
124752,Panchakki,118,767
125003,Panota,118,768
124464,Pant Khara,118,765
124805,Panwari,118,767
125193,Paprinagar,118,770
125363,Parana,118,770
125280,Parbatipura,118,770
124463,Parbatpur,118,765
124488,Parihar,118,765
125115,Paroli Sikarwar,118,769
125383,Pathakpura,118,770
125152,Patharkot,118,769
124691,Patholi (Ct),118,766
124925,Patparganj,118,768
124705,Patsal,118,767
125131,Patti Akilkhan,118,769
125079,Patti Bhanpura,118,769
125056,Patti Mirpur,118,769
125078,Patti Muzaffarpur,118,769
124631,Patti Pachgain,118,766
125059,Patti Shaikhupur,118,769
125058,Patti Siktara,118,769
125064,Pauser,118,769
124654,Pawawali,118,766
125097,Penti Khera,118,769
124486,Pesai,118,765
125254,Pharaira,118,770
125253,Pharairi,118,770
125282,Pharaiyapura,118,770
125048,Phulpur,118,769
125214,Pidhora,118,770
125235,Pinaht,118,770
124619,Pinani Ramnagar,118,766
124903,Pipretha,118,768
124499,Poiya,118,765
125119,Pratap Pura,118,769
125276,Pratappura,118,770
125238,Pundrikpura,118,770
125317,Purabhagwan,118,770
125296,Purakanera,118,770
124836,Puramana,118,767
125014,Pusenta,118,768
125374,Pyarampura,118,770
125132,Qutubpur Gola,118,769
125091,Qutubpur Rohai,118,769
125006,Raghupura,118,768
125013,Rahalai,118,768
124506,Rahan Khurd,118,765
124507,Rahankalan,118,765
124816,Raibha,118,767
124508,Raipur,118,765
125141,Raipura,118,769
124806,Raipura Ahir,118,767
125244,Raipura Bhadoriya,118,770
125350,Raipuradixit,118,770
125216,Rajaura,118,770
940847,Rajpur Chungi Andar,118,766
125298,Rajpura,118,770
124989,Rajpura,118,768
124636,Rajrai,118,766
125146,Ramgarh,118,769
124473,Ramnagar Khandauli,118,765
124788,Rampur,118,767
125249,Rampur Chandrasaini,118,770
124622,Rampura,118,766
125139,Rampura,118,769
125355,Rampuragdhi,118,770
125107,Ran Pura,118,769
125321,Ranipura,118,770
124567,Rasulpur,118,765
125158,Rasulpur,118,769
124928,Rasulpur,118,768
124707,Rasulpur Kiraoli,118,767
124820,Rasulpur Sadar,118,767
125220,Ratauti,118,770
125191,Reha,118,770
125287,Renka,118,770
125354,Richhapura,118,770
124895,Richhoha,118,768
125186,Rihauli,118,769
125215,Rithai,118,770
124866,Rithaura,118,767
124950,Rithori,118,768
125092,Rohai Khas,118,769
124694,Rohta (Ct),118,766
124770,Rojauli,118,767
124967,Roodhau,118,768
124485,Roopdhandu,118,765
125353,Rooppura,118,770
125263,Rudmuli,118,770
124869,Runkata (Ct),118,767
125176,Ruppur,118,769
125208,Sabora,118,770
124590,Sadarban,118,766
125018,Sadupura,118,768
124848,Sagunapur,118,767
124819,Sahai,118,767
124716,Sahanpur,118,767
124595,Sahara,118,766
124818,Sahata,118,767
125151,Saidpur,118,769
124520,Saifuddinpur,118,765
124629,Saimari,118,766
124985,Saiyan,118,768
125359,Sajaiti,118,770
124821,Sakatpur,118,767
